label,content
neutral,"In April 2010 , Olvi 's range of ciders will expand with a strawberry-rhubarb and an apple-pear cider in green bottles with a new shape ."
positive,"( ADP News ) - Oct 29 , 2008 - Finnish lifting equipment maker Konecranes Oyj ( OMX : KCR1V ) said today that its net profit rose to EUR 116.6 million ( USD 149.1 m ) in the first nine months of 2008 from EUR 73.6 million for the s"
neutral,"Participants at any of the book discussions or other special events , or visitors to the car dealership were eligible to enter the drawing for the 2005 silver , four-door Altima ."
positive,The plan is estimated to generate some EUR 5 million ( USD 6.5 m ) in cost savings on an annual basis .
neutral,Fortum had intended to spend as much as ( EURO ) 2.7 bn to become the sole owner of TGK-10 .
neutral,"The company is involved in the the sale of financial products including insurance , mortgages , car and personal loans , financial brokerage and equipment finance leasing ."
neutral,"The Process Products orders are for the installation of separation-filtration equipment at three natural gas pipeline projects in China , South America , and Saudi Arabia ."
negative,"`` However , the rapidly increasing costs and the strengthening of the euro were challenging for the whole industry , and they impacted on our results . ''"
positive,"Both operating profit and net sales for the 12-month period increased , respectively from EUR4 .7 m and EUR26 .7 m , as compared to 2004 ."
neutral,"Ruukki 's delivery includes steel structures , including installation , for Krakeroy bascule bridge and steel piles for the bridge foundations ."
positive,"Handelsbanken ranked before Local Cooperative Banks and Aktia in customer loyalty this time too , however ."
negative,Most of the layoffs will be in Finland .
neutral,"ALEXANDRIA , Va. , May 23 -- Matti Harkonen and Pentti Sipponen , both of Espoo , Finland , Osmo Suovaniemi of Helsinki , Finland , and Tapani Tiusanen of Vantaa , Finland , have developed a paper web press device ."
neutral,YIT Kausta will build commercial and residential highrises in Virsuliskes area .
positive,"Atria will launch a campaign in September to promote the CampoMos brand on the Moscow market , he said ."
negative,"Tallink Silja attributes the significant drop to problems with the booking system that was taken into operation in October , the sale of trailer ferry ` Sky Wind ' and the route between Stockholm and Riga , which has won passengers from the Helsinki-Stockholm route ."
neutral,Vaisala 's board of directors will propose a dividend of 0.85 euro $ 1.24 per share at the company 's annual general meeting .
neutral,Juha Haapakoski will continue as Editor-in-Chief with budget responsibility also with the new publisher .
neutral,Also Chile is an important market area for forest machine companies .
positive,Finnish Outokumpu Technology has been awarded several new grinding technology contracts .
neutral,"Strong brand visibility nationally and regionally is of primary importance in home sales , vehicle and consumer advertising ."
neutral,"According to the Act , universities can now acquire private funding ."
neutral,"The company , which has EUR2 .8 bn in assets , counts among its five largest shareholders Finnish insurers Ilmarinen 4.34 % and Varma 0.70 % , as well as the Finnish state pension fund VER 0.61 % ."
positive,"The Bristol Port Company has sealed a one million pound contract with Cooper Specialised Handling to supply it with four 45-tonne , customised reach stackers from Konecranes ."
neutral,"At first , Solteq 's services to companies operating in the St. Petersburg area will include maintenance and material management systems and data collection solutions ."
neutral,"`` Subscribers can browse free numbers with their handset , and select the numbers , packages and services they prefer when activating the phone ."
neutral,"According to Finnish Scanfil 's founder and chairman of the board , Jorma J. Takanen , the company has to look for growth abroad ."
positive,"Profit before taxes was EUR 5.4 mn , up from EUR 3.6 mn a year earlier ."
neutral,"Investments span across various product and investment types , including retail , hospitality , office , and residential , with interests in real-estate portfolios , non-performing loans and corporate restructurings ."
negative,Possible personnel reductions concern approximately 104 people .
positive,"Clothing retail chain Sepp+?l+? 's sales increased by 8 % to EUR 155.2 mn , and operating profit rose to EUR 31.1 mn from EUR 17.1 mn in 2004 ."
neutral,Finnish component supplier Componenta Corporation ( OMX Helsinki : CTH1V ) reported on Tuesday ( 15 July ) an operating profit of EUR46 .2 m on net sales of EUR386 .0 m for the financial period January-June 2008 .
neutral,The revenues of the business reached NOK 12 million for 2008 .
positive,"Finnish metal products company Componenta Oyj ( HEL : CTH1V ) said today its net loss narrowed to EUR 500,000 ( USD 680,000 ) in the last quarter of 2010 from EUR 5.3 million for the same period a year earlier ."
neutral,Russia 's Video International Group holds a controlling stake in Russian Media Ventures .
neutral,"In the next few years , the ICT sector 's share of electricity consumption will be raised by the increase in the popularity of smartphones ."
neutral,Investments in product development stood at 6.0 mln euro ( $ 8.8 mln ) .
positive,CDLI highlights the companies that provided the most comprehensive response to the Carbon Disclosure Project CDP information request .
neutral,The name of the buyer was not disclosed .
neutral,The figure does not include food exports from Finland .
positive,Stora Enso 's third-quarter pre-tax profit doubled to EUR 197mn .
positive,"18 May 2010 - Finnish electronics producer Elcoteq SE HEL : ELQAV said today that it has signed an extensive cooperation agreement on industrialisation , manufacturing , distribution and after-market services for mobile phones with Japan 's Sharp TYO : 6753 ."
neutral,Pharmaceuticals - Belgium This brand-new market analysis gives a clear overview of the actual situation and future outlook of the pharmaceutical market in Belgium .
positive,"EPS for the quarter was EUR0 .00 , as compared with EUR0 .01 in the third quarter of 2008 , representing a Group net sales for the third quarter were EUR15 .3 m , up by 2.8 % as compared with EUR14 .9 m in the third quarter of 2008 ."
neutral,The company 's model is based on developer contracting construction projects and customer focused project management .
negative,"Net sales of Finnish Sanoma Learning & Literature , of Finnish media group Sanoma , decreased by 3.6 % in January-June 2009 totalling EUR 162.8 mn , down from EUR 168.8 mn in the corresponding period in 2008 ."
positive,"Last year the company raised its turnover to approximately 7 million litas EUR 2 mln , from 6.1 million litas in 2004 ."
neutral,"In the second quarter of 2009 , net sales through operator business partners represented 47 % of the Group 's total net sales ."
positive,"Profitability ( EBIT % ) was 13.9 % , compared to 13.1 % in the previous-year period ."
neutral,The companies ' aim is to finalize the negotiations and sign the contracts at the start of October 2008 .
positive,"Fiskars Brands report net sales of EUR 145.8 mn , up from EUR 138.4 mn ."
neutral,"Chargers manufactured under the new platform are suitable for mobile phones , navigators , digital cameras , Bluetooth head sets , media players and other electronic devices ."
negative,"Finnish Food Workers ' Union SEL plans to hasten its collective bargaining with a two-day strike that would begin on 7 April 2010 , in Finland ."
neutral,Their names have not yet been released .
neutral,"Prior to the transaction , whose financial terms have not been disclosed , Alma Media owned 40 % of Kotikokki net ."
negative,"Operating profit , excluding non-recurring items , totalled EUR 1.0 mn , down from EUR 1.6 mn ."
negative,"Divisional sales demand in the half remained `` inconsistent '' , it added ."
neutral,"Jun. 25 , 2008 ( Boy Genius Report delivered by Newstex ) -- The Nokia ( NYSE : NOK ) N78 , huh ?"
positive,"ASPO Plc STOCK EXCHANGE ANNOUNCEMENT May 4 , 2006 at 10:00 a.m. An increase in the share capital of Aspo Plc totaling EUR 1,125.60 was registered today ."
neutral,Under the agreement Ponsse will provide forest machine maintenance services to Stora Enso 's Russian wood procurement operations .
negative,"Operating profit for the six-month period decreased from EUR21m , while net sales increased from EUR436 .9 m , as compared to the corresponding period in 2007 ."
neutral,"Erkki Jarvinen , President of Rautakirja and the head of the Sanoma Trade division , will leave his current tasks in spring 2009 for a similar position outside the Sanoma Group ."
positive,"At first the contract envisaged the construction of three ferryboats with an option for two more units , further confirmed at a total value of 500 mln euro ( $ 645.8 mln ) ."
positive,The training modules aim at strengthening the public accounting abilities and fulfilling communal project management .
positive,"In January-September 2009 , the Group 's net interest income increased to EUR 112.4 mn from EUR 74.3 mn in January-September 2008 ."
positive,The company 's advantage in pricing can be seen in the significantly lower prices offered by the new unmanned stations .
neutral,"Additionally , retailers can use the same hardware across all tasks in stores and throughout the warehouse , providing substantial savings on support and infrastructure costs ."
neutral,No pricing details were disclosed .
neutral,The commission said the hydrogen peroxide and PBS market was worth about 470 million euros in 2000 .
neutral,"At end-August , Sampo was Nordea 's biggest shareholder with a 20.6 % stake , followed by the state with 19.9 % ."
neutral,Glaston also has efficiency measures in all other units .
neutral,`` Marimekko operates in an industry in which changes in the business climate are reflected in consumer demand .
neutral,"Cohen & Steers , Inc. : 5 534 626 shares representing 4.985 % of the share capital and voting rights ."
positive,"Technopolis and the St. Petersburg government signed a cooperation memorandum in October 2005 to set up a techno-park in the Neudorf production zone in the village of Strelny , in the St. Petersburg suburbs ."
negative,"`` Small firms are suffering at the moment because they are likely to have money trouble , '' he added ."
negative,"Production levels have been agreed with producers a long time ago , so a fall in consumption will lead to losses ."
positive,"The company 's order book stood at 1.5 bln euro $ 2.2 bln on September 30 , 2007 , up by 24.2 pct on the year , with international orders amounting to 365 mln euro $ 534.3 mln ."
negative,"Finnish Exel Composites , a technology company that designs , manufactures , and markets composite profiles and tubes for various industrial applications , reports its net sales decreased by 0.6 % in the second quarter of 2010 to EUR 19.2 mn from EUR 19.3 mn in the corresponding period in 2009 ."
neutral,"According to its notice , Skandinaviska Enskilda Banken AB publ Helsinki Branch has on 10 August 2009 divested in total 11,958,000 Alma Media shares to Ilkka-Yhtyma Oyj and Kaleva Kustannus Oy , as the conditions of the agreement made by the companies on 1 July 2009 fulfilled ."
neutral,"The contract covers the supply of temporary heating equipment for LKAB 's new pellet plant in Kiruna , in northern Sweden ."
positive,The expansion includes the doubling of the floor space and the addition of more lifting capacity and production equipment .
neutral,"Thanks to the development of a system that enables it to trace the origin of all the palm oil that it uses , it knows exactly where and how its palm oil has been produced ."
neutral,"Due to Pirkka beer , Olvi 's brewery in Iisalmi is moving to 7-day , 24-hour work shifts ."
neutral,"Currently , the company uses eight similar reach stackers and four empty container handlers by Konecranes ."
neutral,"In addition to supplying a new headbox and a modern sizing and coating unit , Vaahto Group will provide erection supervision , training and start-up services ."
negative,Device volume in the area decreased by 21 % to 2.7 mn units .
neutral,"The order comprises all production lines for a plywood mill , company said in a statement received by Lesprom Network ."
positive,"`` Neste Oil is working with over 20 research communities in Europe , America , Africa , Asia , and Australia to develop and introduce new raw materials ."
neutral,"The market share of Volkswagen passenger cars in Finland was 10.1 percent , Audi had a market share of 3.1 percent and Seat 's share was 0.9 percent ."
negative,"UPM said the move will lower net profit by  x20ac 385 million US$ 520 million in the second quarter , mainly due to impairment charges ."
neutral,ZAO YIT Moskovia builds housing in Moscow and its surrounding cities .
neutral,"The company will use the money for product development and research activities through 2013 in its key markets Finland , Germany , Italy and France ."
neutral,The Swedish subsidiary holds 1.0 % net smelter return `` NSR '' royalties over two advanced copper projects in northern Sweden - the Viscaria and Adak Projects - being developed by Avalon Minerals Ltd. ASX : AVI .
neutral,"Ahlstrom Corporation STOCK EXCHANGE RELEASE 13.02.2008 Ahlstrom , a global leader in high performance fiber-based materials , today announced the completion of the acquisition of Friend Group Inc. , which consists of West Carrollton Parchment Company and West Carrollton Converting Company ."
positive,The company plans to expand into the international market through its subsidiaries and distributors from 2011 onwards .
positive,"ADP News - Feb 25 , 2009 - Finnish printed circuit board PCB maker Aspocomp Group Oyj HEL : ACG1V said today it swung to a net profit of EUR 300,000 USD 385,000 for 2008 versus a net loss of EUR 65.3 million"
neutral,"Elisa Corporation will disclose its financial statements for 2006 on Thursday , 8 February 2007 ."
neutral,"Iso Omena is based in the Matinkyla district of the southern part of the city of Espoo , southern Finland ."
positive,"Re-use back into PET bottles has also steadily increased and the rate of use in strapping tape has picked up again after a dip in 2005 , Petcore said previously ."
neutral,The companies aim to close the deal before the end of the year .
positive,"Ramirent 's net sales in the second quarterended June 30 were EURO 128.7 million about U.S. $ 163 million , a 3.3-percent increase compared with EURO 124.6 million for thesecond quarter last year ."
neutral,Group net sales in the third quarter of 2007 totaled EUR 142.3 mn and operating profit EUR 4.3 mn .
negative,"The liquidity providing was interrupted on May 11 , 2007 when Aspocomp Group Oyj 's shares traded below 0.50 cent ( Aspocomp 's stock exchange release 11.5.2007 ) ."
neutral,"The works will include the laying of natural stone pavements and the installation of underground heating , and surface water drainage systems ."
negative,"More than 14,000 customers were left powerless ."
neutral,"`` Korean consumers are tech-savvy and leading the pack in terms of design , '' Gill Hyun-chang , president of Motorola Korea Inc. , told Dow Jones Newswires in an interview ."
neutral,"The business is organised , as of February 1 , 2011 , in a way that production of design services is combined into one entity , Etteplan Operations ."
neutral,"The relocation of Ragot has already started and will be completed in the next few weeks , with the Waterqueen and Tortue moves planned for mid-2008 and VMC Europe during the third quarter of 2008 ."
positive,Nokia and Elisa will work together to bring a superior mobile gaming experience for Elisa customers .
positive,The aim is to increase sales by at least one fifth in 2006 .
neutral,"Conference Call To participate via a conference call , please dial in 5-10 minutes before the beginning of the event : +44 0 20 7162 0025 Europe or +1 334-?323-?6201 USA ."
positive,`` We are proud to contribute to the creation of a world-class airport facility with KONE 's innovative People Flow TM solutions .
neutral,"SCOPI Chief Business Excellence Officer , Eng ."
neutral,"CapMan Plc Press Release 31 March 2008 Jukka Ruuska , President of the OMX Nordic Exchanges and the Stockholm Stock Exchange , will transfer to CapMan effective no later than September 2008 ."
neutral,"Raute , headquartered in Nastola , Finland , is a technology company serving the wood products industry worldwide ."
neutral,"Country : , Finland Sector : Construction-Real Estate Target : Pohjolan Design-Talo Oy Buyer : CapMan Oyj Vendor : Ruukki Group Oyj Deal size in USD : 102.6 m Type : Divestment Status : Agreed"
neutral,The terms of the transactions remained undisclosed .
negative,Aspocomp has a large factory in China and a factory building project in India that was halted due to financing problems .
neutral,"` Sanoma is a buyer not a target , ' he said ."
neutral,Vaisala 's expertise in lightning data and information systems is based on extensive experience and investment in R&D .
negative,"In the third quarter of fiscal 2008 Efore swung to a net loss of EUR 400,000 versus a net profit of EUR 200,000 for the corresponding period of fiscal 2007 ."
positive,"Profit for the period was EUR 5.9 mn , up from EUR 1.3 mn ."
positive,The Group also has a strong global position in other fishing categories .
neutral,"Elisa Corporation , headquartered in Helsinki , is a Finnish telecomms company offering private and corporate customers a comprehensive range of telecomms services ."
neutral,"The dollar bounced back after hitting another record low against the euro , which reached $ 1.41 for the first time ."
negative,Market share decreased on the route between Helsinki in Finland and Tallinn in Estonia by 0.1 percentage points to 24.8 % .
positive,"`` We are delighted to announce our support for Intel based handheld platforms , the capabilities of which have made our development easier and faster ."
neutral,Also the traditional grapevine carries a lot of weight .
neutral,"Votorantim Celulose e Papel ( VCP ) is part of the Votorantim Group , a major Brazilian conglomerate ."
negative,The number of bodily injury cases quadrupled in 2000-2006 .
positive,"The company , which makes garden tools , scissors and other consumer goods , said earnings were boosted by 6.9 mln eur of income it received from its 16.7 pct shareholding in Finnish engineering group Wartsila ."
neutral,"Also , CBA is to issue a benchmark , 10 year fixed rate deal in Euros ."
negative,"Thanks to the internet , consumers compare products more than previously and Finnish companies are not competitive ."
negative,"Since the association 's data do not cover sales figures from about 100 small local breweries and sales of imported beer products , the actual market shares of its members are smaller than those given in the report ."
neutral,The financial statements release will be available after publishing on the Company 's internet pages at www.cargotec.com .
negative,"26 October 2010 - Finnish environmental management company Lassila & Tikanoja Oyj ( HEL : LAT1V ) , or L&T , said today its net profit declined to EUR20 .9 m for the first nine months of 2010 from EUR27 .6 m for the same period a year earlier ."
neutral,Travel expenses would be reimbursed in accordance with the travel policy of the company .
positive,"Known as Post Bank , the concept would see Fidelity Bank rolling out 75 offices in Ghana Post premises , to provide financial services to the people ."
positive,"It combines a perfect price performance with sophisticated management facilities , the company said ."
positive,"In the fourth quarter of 2009 , Orion 's net profit went up by 33.8 % year-on-year to EUR33m ."
neutral,"Founded in 1649 , Fiskars has over 360 years of product quality excellence and is Finland 's oldest company ."
neutral,"Fiskars is also engaged in the global supply of marine and energy equipment solutions and services through its associated company , Wartsila Corporation ."
negative,"( ADP News ) - Jan 22 , 2009 - Finnish mobile phones maker Nokia Oyj ( OMX : NOK1V ) said today its operating profit decreased to EUR 5 billion ( USD 6.5 bn ) for 2008 from EUR 8 billion for 2007 ."
negative,"However , the suspect stole his burgundy Nissan Altima ."
neutral,"Information system supplier Sentera -- up 24.51 pct -- was the next most heavily traded share after SysOpen Digia , a software house , acquired 77.4 pct of the company this morning for just under 33 mln eur ."
neutral,"According to him , construction work will start in spring 2007 , and the facility is to be commissioned in spring 2008 ."
positive,`` NTC has a geographical presence that complements Ramirent 's existing network and brings us closer to our customers in the East Bohemia region in the CzechRepublic . ''
positive,Satama 's net sales would be higher than the year before .
neutral,"At the end of March 2009 , the company 's loans amounted to EUR 10.113 mn ."
neutral,Following the increase the company+?UR TM s capital totals 5.5 mln Romanian lei $ 1.98 mln-1 .56 mln euro .
neutral,Exel is headquartered in Mantyharju in Finland .
neutral,Pharmaceuticals - Czech Republic This brand-new market analysis gives a clear overview of the actual situation and future outlook of the pharmaceutical market in Czech Republic .
neutral,"It is Estonia 's second-largest meat processing company by market share ( according to AC Nielsen 's 2008 data , 13 percent ) ."
neutral,The company 's equipment rental portfolio consists primarily of tools for small and mid-sized customers in the construction industry .
neutral,Finnish electrical components maker Salcomp Oyj ( HEL : SAL1V ) announced today the launch of its latest Twist charger platform .
negative,"During the strike , Finnair estimates to incur a net loss of between EUR2m and EUR2 .5 m per day ."
negative,"The Estonian electronic components factory , Elcoteq , is running out of material because of the closure of air traffic ."
neutral,The bridge is part of the highway 14 development project .
neutral,And Ogden reportedly will shell out $ 4.2 million .
neutral,"Currently , 95 % of Trainers House 's revenues are attributed to the Finnish market ."
neutral,Elcoteq SE is Europe 's largest contract electronics maker and has set up a unit in Bangalore in association with Avista Advisory of Mumbai .
neutral,"As a part of the plan , the Board of Directors decided to transfer a maximum of 330,000 shares held by the company in a share issue against payment directed to Aspo Management Oy , a holding company acquired by the management ."
neutral,"The business had gross written premiums of EUR152 .4 m (  91.5 m ) in 2000 , a net combined ratio of 133 % and 175 staff in total with offices in the UK , Germany and Benelux ."
positive,The through service of FESCO is a telling example of strengthening the relationship between logistics companies and operators at the international level .
neutral,"The total investment in the company will be EUR58m , of which Wartsila 's share will be EUR29m ."
positive,"Our strong company brands - ESL Shipping , Leipurin , Telko and Kaukomarkkinat - aim to be the market leaders in their sectors ."
negative,"Operating profit for the 12-month period decreased from EUR2 .9 m while turnover increased from EUR24 .5 m , as compared to the financial year 2004 ."
neutral,The vessels are the largest and fastest ropax vessels in the world that will be built by Fincantieri .
positive,Finnish lifting equipment maker Konecranes HEL : KCR1V said on 29 July 2009 it has raised its stake in Austrian manipulator maker ACS Konecranes to 80 % and bought German sector player Knight Europe .
neutral,"Harju Elekter was founded in 1968 , and is the leading producer of electrical equipment and materials in the Baltic States ."
neutral,"A spokesman said : `` The food store center , subject to council and local support , could comprise a supermarket or smaller store and other niche outlets , and this will be firmed up following consultation with the council and local community regarding appropriate uses and occupiers . ''"
neutral,The maximum number of new shares to be offered is 22 million .
neutral,"A total six of the polled analysts rated M-real -- two gave `` buy '' - `` accumulate '' , three gave `` hold '' and only one gave `` sell '' ."
neutral,"Jussi Pesonen , member of the Sampo Board since 2006 , will renounce his seat in Sampo Board ."
neutral,Tikkurila acquired a majority stake in Kolorit Paints in the autumn of 2004 .
neutral,"Altona stated that the private company of Altona chairman Kevin Maloney , Tulla Resources , would take up its entitlement in full ."
positive,"As a result , the distribution companies will start to distribute , in addition to their current product offering , Shimano reels , rods and other Shimano fishing tackle products on an exclusive basis ."
neutral,"`` In Ukraine , too , we act as a partner for major bakery clients in both production and product development ."
neutral,"Only this time , Nokia , India 's largest MNC , has sought out a topic that could spark off a million approaches ` Creativity in Emerging Markets ."
positive,"The upgrade is intended to raise the network capacity from 450 MHz to 630 MHz in several cities , enabling bi-directional services for digital television as well as broadband data ."
neutral,"Telecom has a foreign investment limit of 74 % , but it appears that mobile VAS does not , which means that Tecnomen can pick up as much as 96.6 % ."
positive,The insurer anticipates its share in Nordea 's net profit to be significant .
positive,`` The CHF is a great product .
positive,"Luxembourg-registered investment fund Amber Trust II has won the final approval of Lithuania 's Competition Council to acquire 29.6 percent of Sanitas , the country 's largest pharmaceutical producer ."
positive,"In the autumn , it plans to expand service to St. Petersburg and Moscow and launch service to Yekaterinburg , Russia , flying there three times a week ."
negative,"In September alone , the market declined by 10.2 percent year-on-year to 19.28 million liters ."
neutral,"However , the production is almost entirely very labor intensive and based on small investments only ."
neutral,"says Brian Burton , Head of IT Security , Vodafone UK ."
negative,"As capacity was cut with 1.4 % , the passenger load factor was down 7.8 percentage points ."
positive,The transaction is in line with Aspo 's strategy to expand in the Baltic Sea region and in the eastern markets .
positive,"After the reporting period , BioTie North American licensing partner Somaxon Pharmaceuticals announced positive results with nalmefene in a pilot Phase 2 clinical trial for smoking cessation ."
negative,"However , this increases signaling traffic which wastes network resources and allows fewer smartphones to connect ."
neutral,"The deal includes the entire personnel of PlanMill Oy , who will transfer to the new company as so-called old employees ."
negative,Comparable operating profit decreased to EUR 13.8 mn from EUR 17.1 mn in the corresponding period in 2005 .
negative,Finnish Bank of +_land reports its operating profit fell to EUR 4.9 mn in the third quarter of 2007 from EUR 5.6 mn in the third quarter of 2006 .
positive,Profit for the period was EUR 15.6 mn compared to EUR 14.1 mn in 2007 .
neutral,The new name of the Sanoma Division will be Sanoma News .
neutral,Electronic versions require 24-48 hours as each copy is customized to the client with digital controls and custom watermarks .
neutral,"Following the acquisitions , Panostaja will establish a new business unit which will focus on heat treatment of metals ."
positive,"The decision to sell a share in Lenenergo was reached in line with Fortum 's strategic plans to invest mainly in generating assets in Russia , while Lenenergo is a grid company , the press release said ."
neutral,"The value of the contract is about EUR1 .0 m. Poyry , headquartered in Vantaa , Finland provides consulting and engineering services to the energy , forestry and infrastructure & environment sectors ."
negative,"Stora Enso Oyj , the largest papermaker , in October said it would close four mills ."
positive,"Juha Jordan , chief engineer at Glaston , said one of the reasons for choosing Vacon as a global AC drives supplier is that it has service and support centres in the same countries where Glaston operates ."
neutral,We are also pleased to welcome the new employees to Tieto . '
negative,"Lassila & Tikanoja 's operating profit excluding non-recurring and imputed items for the second quarter was EUR11 .3 m , down from EUR13 .8 m a year ago ."
positive,Swiss franc surged to record 1.42 euros after it reported sharpest gain in manufacturing in March .
positive,"The Finnish supplier of BSS-OSS and VAS for telecom operators , Tecnotree , has received expansion orders worth a total US$ 7.3 mn for its convergent charging and next generation messaging solutions in Latin America , the company announced without specifying which operators had placed the orders ."
neutral,Electricity consumption grows with higher frequencies .
positive,`` We are pleased with the efforts of both negotiating teams and look forward to a productive four years ahead . ''
neutral,"Kaupthing forecasts that Finnish-Swedish Stora Enso will close its mill in Reisholz , in Germany ."
neutral,"`` These tests are part of a larger campaign which includes various customer trials and demonstrations to make LTE on 800 MHz commercially viable by this summer , '' Nokia Siemens head of LTE business line , Reino Tammela , said ."
negative,"The staff reduction will start immediately , Glaston added ."
neutral,"As a result , a total of 82 employees would be given notice ."
neutral,We have made long-term investments in developing the system 's implementation model .
neutral,These six agreements are the company 's first customer acquisitions in India since taking over TVS Electronics ' contract manufacturing facility in Jun 2007 .
neutral,The deal includes an option for Cramo to buy out the minority stake in 2011 .
neutral,"Last July , the group said it intended to relocate warehouse and office space in Loudeac and Saint Marcel to Morvillars , in the east of France , where it already operates a hook manufacturing and distribution unit ."
negative,"When this information was released on 5 September 2008 , Nokia 's American Depositary shares fell by 8 % ."
neutral,Roshan 's net sales in 2006 were $ 191 million and EBITDA was $ 66.5 million .
neutral,"This will be done domestically and in neighboring markets , both organically and through acquisitions ."
neutral,The net sales of the Power Plants business were EUR 710.3 million in 2005 .
neutral,"According to the original merger plan , Scanfil would get a 79 % stake in the combined business ."
negative,"UPM-Kymmene Corp. , the world 's largest maker of magazine paper , on Tuesday reported a 19-percent profit drop as lower paper prices , higher costs and a strong euro hurt revenue ."
neutral,"H1 '08 H1 '07 Q2 '08 Q2 '07 in mln euro , unless otherwise stated Net sales 386 328.6 201 160.7 Operating profit 46.3 35.8 23.2 9.5 Pre-tax profit 33.6 26.9 18.7 5.1 Net profit 25.1 25.4 14 4.0 EPS in euro 2.20 2.36 1.24 0.38 1.0 euro = $ 1.60 www.componenta.com"
neutral,"The company will pay a dividend of EUR 0.50 per share , a total of EUR 14mn ."
positive,The sale of the Healthcare Trade business supports Oriola-KD 's strategy to focus on Pharmaceutical Wholesale and Retail businesses .
positive,Finnish food industry companies HK Ruokatalo and Atria will form a joint venture company called L+?nsi-Kalkkuna to produce turkey meat .
negative,"( ADP News ) - Feb 4 , 2009 - Finnish broadband data communication systems and solutions company Teleste Oyj ( HEL : TLT1V ) said today its net profit decreased to EUR 5.5 million ( USD 7.2 m ) for 2008 from EUR 9.4 million for 200"
negative,"Finnish electronics contract manufacturer Scanfil had net sales of EUR 52.2 mn in the first quarter of 2007 , down from EUR 60.1 mn a year before ."
neutral,What we think ?
neutral,"The executive said that countries such as Brazil , Chile , Argentina and Mexico will lead the adoption in the business Ethernet services segment , while Brazil and Mexico will be the early adopters of carrier Ethernet for mobile backhaul ."
neutral,"QPR has an established international customer base , spread over 70 countries in 2009 , and a variety of organizations including banks , manufacturing companies , service companies and government authorities ."
neutral,"A data processing unit collects the data , calculates RVR values and provides the data to users via various interfaces ."
neutral,"Some of the most recent technology deliveries include refinery technology to Anrak Aluminium , an iron ore pelletizing plant to Tata Steel and iron ore sintering plants to Bhushan Steel ."
neutral,"In 2008 , it generated net sales of EUR 9.3 million USD 13.1 m ."
neutral,Country : ; Germany Sector : Construction-Real Estate ; Machinery-Engineering Target : Caverion GmbH Buyer : YIT Oyj Deal size in USD : 90.3 m Type : Corporate acquisition Status : Agreed
neutral,The value of the multi-year agreement is over EUR 2mn a year .
neutral,Financial terms were not disclosed .
neutral,"A total of 750,330 new Citycon shares with a nominal value of EUR 1.35 per share were subscribed in December exercising the A-B-C options based on the company 's stock option plan 1999 ."
positive,"Talentum expects that the net sales of its core business will increase in 2008 , compared to 2007 ."
neutral,The Finnish company claims to have over a quarter of a million contented Tulikivi fireplace business and homeowners worldwide .
negative,GSK announced in November 2008 that it would close its operations in Dartford .
neutral,"Cablevision Systems Corp. CVC Their Madison Square Garden division owns and operates the New York Knickerbockers basketball team ; they also own the Madison Square Garden Arena , the New York Rangers hockey team , the New York Liberty women 's basketball team , and the Hartford Wolf Pack hockey team ."
neutral,"Galeria Podlaska , a shopping mall on Wysockiego Street in Bia ` ystok , is approximately 60-percent leased or reserved ."
neutral,The original patent was filed in Finland under application No. .
neutral,"Destia Oy is a Finnish infrastructure and construction service company building , maintaining and designing traffic routes , industrial and traffic environments , but also complete living environments ."
neutral,The forecast for 2012 is 3.3 % .
negative,The airline 's share price closed down slightly at (  x20ac ) 12.51 ( $ 15US .74 ) in Helsinki .
neutral,The value of the order is EUR 4mn .
positive,"Compared with the FTSE 100 index , which rose 28.3 points or 0.5 % on the day , this was a relative price change of 2.3 % ."
neutral,"It is the last smartphone running Maemo 5 , which is to be replaced with MeeGo , a joint project between Nokia , Intel and the open source community ."
negative,"Earnings per share ( EPS ) amounted to EUR1 .37 , down from EUR2 .30 ."
negative,"- Demand for fireplace products was lower than expected , especially in Germany ."
neutral,The customer is local company Etera Mutual Pension Insurance Co and the principal tenant of the unit will be media company Alma Media Corp HEL : ALN1V .
positive,Singapore in May 2011 1 July 2010 - Finnish air carrier Finnair Oyj ( HEL : FIA1S ) said today it will open a daily route to Singapore on 30 May 2011 as part of its growth strategy in Asia .
neutral,"Following the impact , the Altima hit a utility pole , causing a live electric line to fall onto the roadway ."
positive,A memorandum of understanding on cooperation between the Finnish Global Chemical Company KEMIRA and Vietnam National Chemicals Group ( Vinachem ) was signed on this occasion .
negative,"Most of the permanent layoffs will be in the plywood and sawn timber sectors of the Finnish company 's operations at several domestic mills , where earlier this year it temporarily laid off some 1,200 workers to save costs ."
neutral,The transaction is expected to be completed next spring .
neutral,The total capacity of the factory will be approximately 100 engines a year .
neutral,Sales were down 14 per cent in Finland and up 27 per cent abroad where sales were lifted by the strong growth in sales in Russia and Lithuania .
neutral,These module products will be available for trials during 3Q-07 and for volume deliveries during 4Q-07 .
neutral,The closing of such transaction took place today .
neutral,"The device offers multimedia performance along with a host of productivity applications , including live stock prices ."
negative,"ADP News - Feb 13 , 2009 - Finnish retailer Kesko Oyj HEL : KESBV said today its total sales , excluding value added tax VAT , stood at EUR 661.3 million USD 853.1 m in January 2009 , down 15.2 % year-on-yea"
neutral,Yakima created the position for him after emerging from economic downturns of its own .
neutral,The value of the order is nearly EUR400m .
